_id,neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
92261,Haysville,133,34,0,1,251,14,2023-05-15
92262,Hazelwood (Pittsburgh),5913,1095,8,90,9354,1240,2023-05-15
92263,Heidelberg,1865,242,3,12,2427,325,2023-05-15
92264,Highland Park (Pittsburgh),10025,1075,13,60,24062,1773,2023-05-15
92265,Homestead,4984,948,11,88,7396,962,2023-05-15
92266,Homewood North (Pittsburgh),3951,810,7,80,6167,721,2023-05-15
92267,Homewood South (Pittsburgh),3825,523,9,85,5835,693,2023-05-15
92268,Homewood West (Pittsburgh),949,115,0,17,1516,161,2023-05-15
92269,Indiana,13642,2736,23,96,15591,1651,2023-05-15
92270,Ingram,4231,540,6,44,6575,990,2023-05-15
92271,Jefferson Hills,20214,2659,53,193,31151,3621,2023-05-15
92272,Kennedy,16824,2254,49,123,20519,2314,2023-05-15
92273,Kilbuck,718,27,0,5,1130,167,2023-05-15
92274,Knoxville (Pittsburgh),4623,636,6,65,7214,1034,2023-05-15
92275,Larimer (Pittsburgh),3825,622,12,67,6219,648,2023-05-15
92276,Leet,1469,135,3,10,2494,325,2023-05-15
92277,Leetsdale,1246,122,2,12,2083,235,2023-05-15
92278,Liberty,3837,451,9,41,4947,823,2023-05-15
92279,Lincoln,1046,110,2,24,1581,287,2023-05-15
92280,Lincoln Place (Pittsburgh),4389,674,9,56,6586,963,2023-05-15
92281,Lincoln-Lemington-Belmar (Pittsburgh),16214,3854,22,114,18783,1186,2023-05-15
92282,Lower Lawrenceville (Pittsburgh),3680,350,3,33,6991,735,2023-05-15
92283,Manchester (Pittsburgh),2893,382,7,59,4936,730,2023-05-15
92284,Marshall,8049,488,6,53,17498,1975,2023-05-15
92285,Marshall-Shadeland (Pittsburgh),5475,766,5,66,8599,1179,2023-05-15
92286,McCandless,39028,4348,140,357,59751,6829,2023-05-15
92287,Mcdonald,625,115,0,3,577,79,2023-05-15
92288,Mckees rocks,8101,1149,22,125,13078,1710,2023-05-15
92289,McKeesport,43676,7388,114,585,53692,6641,2023-05-15
92290,Middle Hill (Pittsburgh),1932,221,7,56,3336,460,2023-05-15
92291,Millvale,4336,569,4,31,7351,936,2023-05-15
92292,Monroeville,51684,7024,136,612,71180,8137,2023-05-15
92293,Moon,42043,4664,58,229,50823,6276,2023-05-15
92294,Morningside (Pittsburgh),4121,481,7,48,7876,909,2023-05-15
92295,Mount Lebanon,48856,5372,93,254,86681,8201,2023-05-15
92296,Mount Oliver Borough,4412,453,5,63,6796,927,2023-05-15
92297,Mount Washington (Pittsburgh),12113,1490,12,91,19125,2520,2023-05-15
92298,Mt. Oliver (Pittsburgh),472,55,0,11,722,122,2023-05-15
92299,Munhall,15361,1861,38,234,24390,3296,2023-05-15
92300,Neville,1182,159,3,16,1979,218,2023-05-15
92301,New Homestead (Pittsburgh),1033,151,1,11,1867,272,2023-05-15
92302,North Braddock,6053,1091,8,85,8922,1241,2023-05-15
92303,North Fayette,17593,1723,24,123,26152,3657,2023-05-15
92304,North Oakland (Pittsburgh),9579,547,11,56,29049,1708,2023-05-15
92305,North Shore (Pittsburgh),684,36,0,4,2360,120,2023-05-15
92306,North Versailles,13779,1895,24,245,20375,2709,2023-05-15
92307,Northview Heights (Pittsburgh),2066,274,7,31,3318,387,2023-05-15
92308,O'Hara,8456,737,13,118,17974,1873,2023-05-15
92309,Oakdale,2175,180,6,23,2756,357,2023-05-15
92310,Oakmont,16743,2245,30,118,28195,1812,2023-05-15
92311,Oakwood (Pittsburgh),926,84,3,18,1742,245,2023-05-15
92312,Ohio,12207,2213,5,53,19110,1795,2023-05-15
92313,Overbrook (Pittsburgh),5596,606,7,52,7504,939,2023-05-15
92314,Penn Hills,61217,8826,124,802,91568,10896,2023-05-15
92315,Pennsbury Village,894,123,0,3,1274,179,2023-05-15
92316,Perry North (Pittsburgh),5217,615,9,59,8467,1072,2023-05-15
92317,Perry South (Pittsburgh),5959,666,16,86,10014,1171,2023-05-15
92318,Pine,15962,1216,15,93,27021,3244,2023-05-15
92319,Pitcairn,4206,506,12,67,6286,783,2023-05-15
92320,Pleasant Hills,13509,1545,37,121,19898,2367,2023-05-15
92321,Plum,33178,4665,71,371,48505,6172,2023-05-15
92322,Point Breeze (Pittsburgh),5835,375,5,26,16061,1276,2023-05-15
92323,Point Breeze North (Pittsburgh),2821,327,3,33,6080,584,2023-05-15
92324,Polish Hill (Pittsburgh),1634,107,1,13,3437,297,2023-05-15
92325,Port Vue,5965,1138,14,88,8235,1300,2023-05-15
92326,Rankin,1564,233,1,32,2832,369,2023-05-15
92327,Regent Square (Pittsburgh),1146,79,2,7,2805,248,2023-05-15
92328,Reserve,3532,302,7,40,5837,828,2023-05-15
92329,Richland,16273,2255,53,132,20442,2691,2023-05-15
92330,Ridgemont (Pittsburgh),678,55,1,1,891,135,2023-05-15
92331,Robinson,25176,3497,23,160,38700,4181,2023-05-15
92332,Ross,53323,6752,158,492,80411,8054,2023-05-15
92333,Rosslyn Farms,329,9,1,3,667,85,2023-05-15
92334,Scott,42303,6440,77,176,56202,4727,2023-05-15
92335,Sewickley,3595,298,5,18,7280,766,2023-05-15
92336,Sewickley Heights,883,35,1,3,1893,168,2023-05-15
92337,Sewickley Hills,658,61,0,4,1141,139,2023-05-15
